ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
KHDRBS3	4.84324	6.38012	5.98645	5.55683	5.73657	5.73979	4.31379	3.791	4.96589	5.24644	5.40845	5.997
KHK	6.20506	9.22354	9.17035	9.41828	9.30298	9.80551	5.55989	4.59875	4.67077	4.9824	5.35801	4.47252
KHNYN	7.50663	8.80565	8.00776	6.19628	5.93524	6.33125	8.03792	7.54769	7.54313	7.53779	7.69343	7.45583
KHSRP	7.97074	8.24355	8.22121	7.52456	7.45124	7.29845	7.95844	7.81002	7.92291	7.45103	7.54207	7.40214
KIAA0020	6.72863	6.45834	4.97251	5.91889	5.99645	6.27476	5.99089	6.58044	6.47657	6.60843	6.15597	6.19503
KIAA0040	7.07327	7.06219	5.71703	8.11193	7.86442	6.31173	8.79621	7.04645	7.65357	7.56965	7.55455	8.27593
KIAA0087	0.592568	0.558581	0	0	0.429084	0	1.56663	0.368462	1.32918	1.91114	0.911931	1.33433
KIAA0090	7.1869	8.29004	7.26892	6.99851	6.38856	6.73102	7.44071	6.69105	7.18601	7.02678	6.94971	7.15423
KIAA0100	7.98025	8.89921	8.34698	6.4016	6.18586	6.63166	8.90681	8.86453	8.38208	8.56432	8.66503	9.00719
KIAA0101	6.33328	6.88346	4.6906	2.69717	2.40139	3.5599	5.91942	5.84766	5.69174	4.04987	4.05044	2.54393
KIAA0114	6.30079	5.31812	6.65544	6.11368	6.27288	6.56526	6.71087	5.8265	7.19287	6.82821	6.33313	5.48826
KIAA0125	4.52364	0.592568	0.368462	0.203355	1.42473	2.02862	3.34799	4.44874	3.81396	3.07133	4.19542	2.16537
KIAA0141	7.54168	8.46464	7.53369	7.374	7.13966	7.53636	7.41738	7.02653	7.0849	7.41728	7.17453	7.0253
KIAA0146	6.6896	7.0859	6.44731	5.95584	6.20254	6.19644	7.1704	6.30239	6.80429	7.0671	6.67643	6.48739
KIAA0174	8.12385	8.33567	7.74716	7.27517	7.26683	7.37588	7.96349	8.04289	7.58766	8.13583	8.06544	8.03892
KIAA0182	7.43897	8.16252	7.83003	6.99942	6.91175	7.11802	8.83297	8.55371	7.64747	7.57145	7.94609	8.45663
KIAA0195	7.97828	8.1518	7.35583	6.61232	6.07143	6.73173	7.72738	8.01893	7.89521	7.26288	7.47462	7.2805
KIAA0196	7.54645	7.71913	6.51026	6.52649	6.23637	6.42162	7.34015	7.02088	6.96696	7.28099	7.10228	7.58265
KIAA0226	6.84162	6.8222	5.60212	4.89415	5.23644	5.84644	7.0482	6.17692	6.43761	6.35376	6.40219	6.39145
KIAA0232	7.74673	7.53369	7.76684	6.8742	6.30079	6.90975	7.4706	7.07063	7.6014	7.59631	7.34688	7.81627
KIAA0240	6.05912	6.84907	5.78074	5.69373	5.73979	5.56834	7.14626	6.02468	6.40189	6.49423	6.50913	6.90366
KIAA0247	7.16549	7.02287	6.73102	6.51915	6.43935	6.84162	7.58616	7.36079	7.81806	7.95135	7.4207	7.18055
KIAA0284	8.09803	8.05516	7.11151	6.37843	5.46383	6.632	7.59139	7.73164	7.62974	7.21294	7.29309	6.88195
KIAA0317	6.89264	7.28893	7.1293	5.98896	5.75574	6.16752	6.54263	6.19187	6.90212	6.73497	6.53785	6.4796
KIAA0319L	8.35561	8.51859	8.82585	7.71957	7.22184	7.87322	8.38431	7.42009	8.0056	7.9453	7.67712	6.99028
KIAA0319	1.85914	1.91488	1.00903	0.670839	1.42473	1.65765	2.36638	4.10523	1.42729	1.26721	2.39675	2.16364
KIAA0355	6.49072	7.00851	6.46614	6.58893	5.83773	6.1181	6.25062	6.25303	6.55316	6.63255	6.76179	7.09818
KIAA0368	8.07278	8.24276	7.63723	7.64204	7.40306	7.66059	8.00529	8.25666	7.98637	8.06794	8.09284	8.53475
KIAA0391	6.53223	7.00936	5.9162	6.66147	6.54679	6.60123	6.2272	6.47823	6.56403	6.4371	6.1877	6.25726
KIAA0406	6.53814	7.42714	6.80351	6.2672	6.12249	6.27852	7.03432	7.94791	6.186	6.0912	6.02399	6.08539
KIAA0408	0.592568	0.592568	4.0718	3.81978	0	0	0	0.368462	0.149823	2.59762	5.61718	7.03876
